CustomerID,Lookalikes
C0001,"[('C0184', np.float64(0.9530107530794122)), ('C0192', np.float64(0.9350887623338706)), ('C0112', np.float64(0.9080078858444088))]"
C0002,"[('C0106', np.float64(0.9321228466590178)), ('C0134', np.float64(0.919797480408065)), ('C0040', np.float64(0.9111090028038117))]"
C0003,"[('C0052', np.float64(0.9735448208255614)), ('C0076', np.float64(0.9697062419450831)), ('C0031', np.float64(0.9668832348221438))]"
C0004,"[('C0165', np.float64(0.9752419725283313)), ('C0155', np.float64(0.9414271268559732)), ('C0169', np.float64(0.9369836459901905))]"
C0005,"[('C0007', np.float64(0.9912746459372063)), ('C0140', np.float64(0.9284718832474662)), ('C0186', np.float64(0.8956266447320654))]"
C0006,"[('C0137', np.float64(0.9393272424655035)), ('C0187', np.float64(0.9388717778279957)), ('C0191', np.float64(0.9169875252215756))]"
C0007,"[('C0005', np.float64(0.9912746459372063)), ('C0140', np.float64(0.8908496307217431)), ('C0186', np.float64(0.8494789003608635))]"
C0008,"[('C0065', np.float64(0.9038500905709648)), ('C0059', np.float64(0.8983610433400375)), ('C0156', np.float64(0.7228914322184016))]"
C0009,"[('C0061', np.float64(0.9656914481916044)), ('C0062', np.float64(0.9464704212668449)), ('C0198', np.float64(0.9081443819896563))]"
C0010,"[('C0062', np.float64(0.9701260630635873)), ('C0061', np.float64(0.936795693304926)), ('C0103', np.float64(0.9281340769308946))]"
C0011,"[('C0174', np.float64(0.9723444174101753)), ('C0171', np.float64(0.9310016176983994)), ('C0168', np.float64(0.9258109708847455))]"
C0012,"[('C0195', np.float64(0.9675425859842635)), ('C0163', np.float64(0.9090577199036656)), ('C0003', np.float64(0.7761307641555796))]"
C0013,"[('C0099', np.float64(0.89741874523108)), ('C0108', np.float64(0.8162532218531203)), ('C0143', np.float64(0.7706468896286068))]"
C0014,"[('C0089', np.float64(0.9439371856387921)), ('C0060', np.float64(0.8456115037332758)), ('C0097', np.float64(0.837467672896869))]"
C0015,"[('C0036', np.float64(0.9391286544799419)), ('C0094', np.float64(0.9314641520418803)), ('C0185', np.float64(0.8867634315692772))]"
C0016,"[('C0183', np.float64(0.9935590812797999)), ('C0030', np.float64(0.955341084080075)), ('C0067', np.float64(0.9438036794471171))]"
C0017,"[('C0041', np.float64(0.9571519656102776)), ('C0075', np.float64(0.9436535516946921)), ('C0057', np.float64(0.8782680241556146))]"
C0018,"[('C0046', np.float64(0.9477327006907322)), ('C0117', np.float64(0.911749772832994)), ('C0194', np.float64(0.887411579021415))]"
C0019,"[('C0135', np.float64(0.8876600951005466)), ('C0121', np.float64(0.862291632426389)), ('C0070', np.float64(0.849452580837537))]"
C0020,"[('C0050', np.float64(0.9201162022255811)), ('C0035', np.float64(0.8737267101248652)), ('C0157', np.float64(0.842551638552067))]"
